Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
6.6,2013,2.35,62,1,29,5,0,1,26,0,12,10,0,14,115000000.00,93050117.00,6.6,0.81,FLOP
7,2013,2.35,99,1,57,37,0,42,78,0,6,2,0,0,120000000.00,89021735.00,7,0.74,FLOP
6.7,2013,2.35,38,0,24,4,0,0,9,0,0,11,0,11,120000000.00,132550960.00,6.7,1.1,HIT
7.2,2013,2.35,51,0,16,38,1,67,66,1,44,1,0,0,135000000.00,187165546.00,7.2,1.39,AVERAGE
7.7,2013,2.35,36,0,0,1,0,0,7,0,0,22,4,231,100000000.00,274084951.00,7.7,2.74,BLOCKBUSTER
5.3,2013,1.85,28,0,17,27,0,2,44,0,2,9,0,0,105000000.00,71017784.00,5.3,0.68,FLOP
6.6,2013,2.35,67,0,38,19,0,0,27,0,0,9,0,29,110000000.00,61656849.00,6.6,0.56,FLOP
8.2,2013,2.35,41,1,82,52,1,34,57,0,8,53,1,5,100000000.00,116866727.00,8.2,1.17,HIT
5.3,2013,1.85,96,0,17,38,0,1,43,0,0,6,1,166,92000000.00,67344392.00,5.3,0.73,FLOP
7.3,2013,2.35,80,0,2,73,0,0,40,0,0,14,0,0,90000000.00,58229120.00,7.3,0.65,FLOP
5.8,2013,2.35,20,0,5,32,0,1,28,0,1,10,0,3,90000000.00,68558662.00,5.8,0.76,FLOP
7.3,2018,2.35,110,0,17,132,1,37,174,0,0,37,1,6,84000000.00,53215979.00,7.3,0.63,FLOP
5.4,2013,1.85,132,0,22,51,0,53,76,0,1,36,1,4,80000000.00,133668525.00,5.4,1.67,AVERAGE
5.2,2013,2.35,8,0,0,44,0,1,12,0,0,7,2,4,80000000.00,36073232.00,5.2,0.45,FLOP
6.4,2013,2.35,51,0,1,21,0,0,4,0,0,0,0,0,78000000.00,119793567.00,6.4,1.54,AVERAGE
7.6,2010,1.85,39,0,29,34,0,2,70,0,14,3,0,22,76000000.00,368049635.00,7.6,4.84,BLOCKBUSTER
7.3,2013,2.35,99,1,57,33,1,14,49,0,1,10,0,1,75000000.00,117698894.00,7.3,1.57,AVERAGE
6.7,2013,2.35,66,0,52,106,0,6,31,0,0,23,0,5,50000000.00,25121291.00,6.7,0.5,FLOP
8.4,2012,2.35,37,0,16,40,1,57,60,0,22,11,0,121,250000000.00,448130642.00,8.4,1.79,SUPER_HIT
6.6,2012,2.35,56,0,2,45,0,14,44,0,1,7,2,34,263700000.00,73058679.00,6.6,0.28,FLOP
