Distributor,Theaters_x,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations
5,4055,2010,165000000,2.35,98,113,2,3,8,30,197,26,0,5,12,213,35,0,4,17,151,44,1,3,1,108,14,1,31,61,607,13,0,3,3,111,0,0,0,0,184,0,0,0,0
22,3349,2012,85000000,1.85,106,155,18,4,3,16,3,49,1,55,114,25,51,1,7,45,669,0,0,42,0,136,29,2,12,2,473,23,1,2,4,37,1,0,0,1,308,0,0,0,0
29,2663,2014,25000000,2.35,112,444,53,0,0,6,170,60,0,9,26,372,53,1,10,35,361,102,1,7,1,33,29,1,0,-3,218,3,0,0,1,192,12,0,0,0,355,3,0,0,0
22,3491,2013,80000000,1.85,112,116,36,0,1,4,3,51,1,56,115,373,23,1,1,13,132,55,4,8,4,191,21,2,4,0,195,13,0,0,2,327,94,0,3,2,117,39,0,0,0
16,2991,2010,80000000,2.39,108,282,48,1,157,268,266,34,1,88,241,421,44,3,20,115,61,91,1,36,1,184,0,3,8,119,364,4,0,1,8,326,0,3,27,72,203,0,1,2,3
22,3534,2010,80000000,1.85,161,116,33,0,1,4,3,45,1,53,112,373,18,1,1,13,132,49,4,5,4,191,21,2,1,-3,9,16,1,53,112,327,86,0,3,2,117,34,0,0,0
16,3169,2010,150000000,2.35,91,270,8,2,5,31,327,0,0,0,1,148,5,1,8,42,556,0,0,1,0,88,92,8,59,87,383,9,2,5,31,13,43,1,16,24,189,29,3,5,15
29,3119,2012,85000000,2.35,112,86,7,0,3,3,110,50,2,75,167,558,49,1,9,43,734,0,1,12,1,175,20,2,11,17,143,0,0,0,0,240,47,0,0,1,371,20,0,0,1
16,3411,2008,25000000,1.85,103,284,8,0,2,9,277,0,1,2,10,301,0,0,0,1,699,1,0,1,0,145,0,1,0,6,170,4,1,4,38,186,0,0,0,2,277,0,0,0,0
29,3745,2012,125000000,2.39,110,453,2,2,3,40,207,37,2,25,51,572,88,0,0,1,686,166,1,0,1,88,93,8,61,89,593,15,2,3,40,275,73,1,7,31,359,50,2,0,1
29,3745,2012,125000000,2.39,110,453,2,2,3,40,207,37,2,25,51,572,88,0,0,1,686,166,1,0,1,88,93,8,61,89,593,15,2,3,40,275,73,1,7,31,359,50,2,0,1
16,3917,2011,135000000,1.78,113,162,18,1,9,12,228,59,3,67,138,247,0,0,4,11,1,0,1,15,1,75,95,1,112,235,306,13,3,7,36,287,76,2,157,150,149,0,0,0,1
26,3014,2014,61000000,2.39,135,97,90,2,60,132,40,56,2,64,108,545,0,1,24,52,550,90,4,18,4,213,11,1,39,93,216,0,1,18,20,146,36,2,1,28,388,14,1,3,14
25,3049,2009,30000000,1.85,116,312,9,1,2,24,390,2,0,1,12,274,7,0,0,0,545,0,0,0,0,38,17,0,9,4,443,3,1,2,24,343,5,1,0,3,107,59,2,3,6
31,3275,2013,190000000,1.85,107,165,12,2,90,123,78,16,0,3,5,153,44,0,0,1,285,60,1,18,1,175,22,2,12,18,596,5,0,0,2,118,40,1,0,8,200,2,0,0,4
