Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,40,0,2,67,1,28,33,0,0,1,0,0,1,0,0,0,0,0,21,0,22,32,0,1,70000000.00,6.3,CLASS-2
2.35,16,0,2,18,0,0,11,0,0,27,0,3,27,0,3,11,0,1,9,0,7,44,0,1,70000000.00,4.2,CLASS-1
2.35,19,1,16,40,0,2,19,0,1,5,0,1,5,0,1,0,0,0,20,0,0,24,0,0,66000000.00,6.4,CLASS-2
2.35,12,0,2,22,0,11,9,0,3,2,1,56,2,1,56,24,4,136,57,2,99,75,2,168,65000000.00,7.2,CLASS-3
2.39,7,0,19,47,0,3,66,0,2,4,0,0,4,0,0,20,0,2,6,0,2,0,1,19,65000000.00,8.5,CLASS-4
1.85,66,0,16,99,0,1,18,0,5,2,0,2,2,0,2,20,0,2,7,0,39,14,0,39,65000000.00,6.8,CLASS-3
2.35,23,0,2,39,0,17,11,0,1,90,0,68,90,0,68,0,0,25,11,1,21,35,0,1,61000000.00,8.1,CLASS-4
2.35,124,0,4,23,0,6,31,0,1,15,0,33,15,0,33,0,0,0,27,0,12,27,0,1,60000000.00,6.2,CLASS-2
1.85,3,0,0,436,0,11,39,0,5,3,0,10,3,0,10,2,0,0,21,1,14,7,0,1,60000000.00,6.8,CLASS-3
2.35,68,0,64,20,0,2,105,0,25,19,1,8,19,1,8,2,0,2,103,1,121,35,0,2,215000000.00,6.4,CLASS-2
