Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,IMDb_Label
2012,2.35,37,0,14,53,0,2,42,0,0,31,0,2,65000000,CLASS-2
2012,2.35,51,0,3,27,0,0,22,0,11,12,0,2,65000000,CLASS-2
2012,2.35,35,0,44,133,1,48,36,0,19,1,1,9,60000000,CLASS-3
2012,2.35,49,0,14,13,0,3,76,0,5,0,0,1,60000000,CLASS-3
2011,2.35,59,0,69,3,0,3,54,0,6,6,0,17,250000000,CLASS-3
2011,2.35,131,0,6,94,0,4,38,0,3,19,1,36,200000000,CLASS-2
2011,2.35,45,0,14,42,0,3,19,1,71,27,0,3,200000000,CLASS-2
2011,2.35,162,0,3,44,0,2,93,0,1,51,0,9,195000000,CLASS-2
2011,1.85,68,0,23,266,0,23,106,0,12,51,1,154,170000000,CLASS-3
2011,2.35,21,1,94,30,0,58,63,0,2,3,0,5,160000000,CLASS-4
2011,2.35,10,0,8,55,1,73,115,1,52,14,0,33,150000000,CLASS-4
2011,2.35,52,1,47,71,1,37,358,0,0,1,0,4,150000000,CLASS-3
2011,2.35,43,0,1,20,0,4,41,0,1,5,0,0,150000000,CLASS-2
2011,2.35,34,0,46,34,0,27,71,0,6,8,2,32,145000000,CLASS-3
2011,2.35,28,0,5,30,0,2,34,0,12,12,1,1,140000000,CLASS-3
2016,2.35,76,0,66,125,0,6,206,1,18,20,1,8,135000000,CLASS-4
2011,2.35,0,0,14,40,0,3,93,0,1,2,1,22,130000000,CLASS-3
2011,2.35,54,0,7,52,0,2,68,0,0,52,3,148,135000000,CLASS-3
2011,2.35,35,0,5,24,0,6,42,0,14,10,0,3,125000000,CLASS-3
2011,2.35,77,0,34,80,0,7,8,0,0,16,0,8,125000000,CLASS-3
2011,2.35,95,2,74,98,0,18,36,0,3,105,1,30,120000000,CLASS-2
2011,1.78,14,0,0,4,0,1,26,0,0,8,0,0,110000000,CLASS-2
2011,2.35,31,0,27,10,0,0,17,0,0,27,0,4,110000000,CLASS-3
2011,2.35,39,1,69,15,0,6,23,0,0,22,0,112,94000000,CLASS-4
2011,2.35,57,0,43,31,0,15,62,0,5,4,0,2,93000000,CLASS-4
2011,2.35,48,0,11,36,0,3,58,0,2,85,0,49,90000000,CLASS-4
2011,2.35,47,0,3,16,0,5,23,0,28,11,0,2,75000000,CLASS-2
2011,2.35,54,0,3,17,0,21,60,0,6,48,0,6,75000000,CLASS-2
2011,1.85,119,1,17,95,0,18,57,0,8,0,0,0,100000000,CLASS-3
2011,2.35,32,0,47,2,0,0,15,0,3,11,0,20,80000000,CLASS-2
2011,1.85,69,0,23,42,0,6,9,0,0,0,0,0,75000000,CLASS-1
2011,1.85,46,0,54,44,0,4,55,0,0,34,0,1,80000000,CLASS-2
2011,2.35,83,0,9,67,0,2,60,0,1,6,0,0,80000000,CLASS-2
2011,1.85,43,1,43,46,0,48,45,0,2,34,0,1,79000000,CLASS-1
2011,1.85,13,0,3,3,0,0,30,0,0,9,0,6,75000000,CLASS-2
2011,2.35,34,0,14,33,0,11,86,0,0,15,0,5,82000000,CLASS-2
2011,2.35,47,0,0,14,0,3,17,0,1,5,0,2,70000000,CLASS-2
2011,2.35,1,0,1,32,0,26,80,0,9,52,3,148,66000000,CLASS-3
2011,2.35,23,0,17,198,0,3,72,0,0,30,2,37,70000000,CLASS-2
2011,2.35,30,0,1,84,2,47,56,0,12,1,1,5,35000000,CLASS-2
2011,2.35,38,0,4,25,0,0,16,0,16,12,0,3,36000000,CLASS-2
2010,1.85,123,0,3,51,0,1,138,0,0,1,0,1,260000000,CLASS-4
2018,2.35,53,0,2,94,0,2,60,0,0,46,0,44,200000000,CLASS-2
2010,1.85,57,0,66,55,1,11,31,1,68,31,0,27,200000000,CLASS-2
2010,2.35,76,1,41,48,0,18,56,0,0,1,0,0,170000000,CLASS-3
2010,1.85,57,2,73,112,0,1,80,0,3,4,2,28,200000000,CLASS-4
2010,2.35,23,0,29,32,0,0,6,0,0,72,0,13,200000000,CLASS-3
2010,2.35,74,0,34,58,0,47,52,0,8,10,0,8,200000000,CLASS-3
2010,2.35,25,0,14,70,0,4,112,0,5,0,0,0,165000000,CLASS-2
2010,2.35,35,0,3,42,0,13,44,0,3,2,0,8,165000000,CLASS-4
2010,2.35,34,1,79,33,0,12,53,0,22,10,0,137,160000000,CLASS-4
2010,2.35,58,1,35,28,0,0,2,0,3,15,0,0,150000000,CLASS-2
2010,1.78,98,0,2,9,0,0,14,0,0,67,0,23,155000000,CLASS-2
2010,1.85,111,1,43,12,0,0,79,0,0,11,1,1,150000000,CLASS-2
2010,2.35,94,1,53,59,2,83,63,0,16,5,0,1,130000000,CLASS-3
2010,2.35,72,0,17,70,0,1,12,0,0,9,0,1,125000000,CLASS-2
2010,1.85,47,0,0,32,0,0,8,0,4,5,3,47,120000000,CLASS-2
2010,2.35,33,0,43,37,0,1,55,0,11,8,0,11,117000000,CLASS-2
2010,2.35,29,0,15,53,0,4,6,0,3,4,0,0,112000000,CLASS-1
2010,1.85,81,2,47,83,0,6,83,0,1,7,0,2,100000000,CLASS-2
2010,2.35,35,0,11,63,0,11,2,0,0,13,1,31,100000000,CLASS-3
2010,2.35,57,0,63,42,1,44,40,0,0,6,0,56,100000000,CLASS-2
2010,2.35,28,0,12,41,0,7,79,0,13,14,0,5,80000000,CLASS-3
2010,2.35,51,1,27,9,0,0,20,0,2,15,0,38,100000000,CLASS-3
2010,1.85,53,0,0,109,1,15,27,0,5,5,0,7,100000000,CLASS-1
2010,2.35,14,0,5,93,0,6,70,0,14,14,0,6,95000000,CLASS-2
2010,2.35,48,2,74,93,0,7,41,0,0,28,0,6,100000000,CLASS-3
2010,2.35,68,0,9,63,0,5,81,0,34,24,0,35,90000000,CLASS-1
2010,1.85,43,0,15,20,0,4,21,0,1,21,0,14,60000000,CLASS-3
2010,1.85,22,0,3,24,0,12,26,0,2,7,0,0,85000000,CLASS-1
2014,2.35,40,0,1,69,0,47,46,0,6,8,0,61,80000000,CLASS-2
2010,2.35,34,1,79,37,0,0,41,0,0,47,1,166,80000000,CLASS-4
2010,2.35,48,2,73,49,0,11,68,1,58,8,0,1,80000000,CLASS-3
2010,1.85,41,0,43,53,0,9,20,0,0,8,0,1,80000000,CLASS-1
2010,1.85,122,0,23,45,0,53,61,0,17,33,0,1,80000000,CLASS-2
2010,2.35,76,0,14,42,0,1,89,0,21,7,0,4,75000000,CLASS-2
2010,2.35,76,0,9,115,0,2,4,0,0,22,3,59,70000000,CLASS-2
2010,2.35,10,0,39,35,0,39,37,0,18,18,0,4,68000000,CLASS-1
2010,1.85,39,0,29,37,0,2,22,0,3,3,0,22,69000000,CLASS-4
2009,1.78,86,0,5,41,0,1,54,0,8,17,3,69,237000000,CLASS-4
2009,2.35,53,0,13,11,0,10,9,0,3,17,0,15,250000000,CLASS-4
2009,2.35,140,0,3,90,0,1,13,0,1,50,0,9,200000000,CLASS-2
2009,2.35,36,1,67,26,0,13,18,1,18,29,0,9,200000000,CLASS-2
2009,2.35,55,0,2,6,0,2,31,1,76,13,0,19,200000000,CLASS-2
2019,2.35,58,0,7,83,0,43,94,1,58,29,1,34,200000000,CLASS-3
2009,2.35,71,0,6,34,0,7,26,0,30,3,0,0,175000000,CLASS-2
2009,2.35,47,0,14,64,0,6,1,0,2,8,0,1,175000000,CLASS-2
