Distributor,Theaters,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_ratings,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations,Movie_awords_win,Movie_awords_nominations,Movie_awords_oscars
31,3952,2014,160000000,2.39,123,6.4,144,5,1,7,6,1,33,1,5,20,74,4,0,2,2,409,61,1,2,1,8,57,2,95,266,237,26,0,0,0,301,53,2,6,27,357,37,2,3,17,7,31,0
22,3310,2014,160000000,2.39,123,6.4,144,5,1,7,6,1,33,1,5,20,74,4,0,2,2,409,61,1,2,1,8,57,2,95,266,237,26,0,0,0,301,53,2,6,27,357,37,2,3,17,7,31,0
22,4634,2019,160000000,2.39,129,7.5,224,25,0,0,4,417,18,0,19,24,564,174,1,40,85,302,45,1,34,1,148,50,1,79,107,94,0,0,0,3,214,31,1,0,3,18,52,3,1,13,10,24,0
31,3603,2003,150000000,2.39,138,7.2,257,2,0,12,25,354,13,0,0,0,107,0,0,0,0,34,17,0,0,0,59,0,0,1,1,376,3,0,11,25,25,32,1,3,9,368,0,1,0,3,8,34,0
22,4324,2014,200000000,2.39,142,6.6,273,53,0,7,7,20,19,1,12,77,180,0,1,65,171,313,53,1,47,1,147,4,0,0,0,19,16,1,3,11,55,19,0,0,0,99,37,1,3,6,4,30,0
30,4476,2019,183000000,2.39,128,6.9,166,22,0,8,11,439,71,2,64,139,441,16,0,0,3,541,0,0,1,0,3,34,8,45,95,292,12,1,0,9,4,20,0,2,2,284,33,1,2,19,8,37,0
31,4570,2019,79000000,2.39,169,6.5,17,7,0,11,6,212,0,2,83,115,264,50,1,17,35,71,103,2,19,2,20,51,1,4,43,556,248,2,4,4,40,53,0,2,4,242,30,1,0,10,5,25,0
26,3996,2014,200000000,2.39,132,7.9,52,12,4,12,14,167,41,1,24,94,264,39,1,12,30,508,41,2,71,2,106,32,1,1,11,548,8,1,4,8,234,60,1,5,35,240,30,0,1,3,16,47,1
30,3946,2015,175000000,1.85,95,8.1,335,8,2,44,75,19,0,1,22,94,505,0,0,7,10,620,177,0,7,0,148,31,1,75,103,469,11,2,44,75,184,0,0,0,3,247,0,0,0,0,99,115,1
31,3672,2001,125000000,2.39,152,7.6,63,9,1,6,20,358,70,2,11,17,414,0,2,26,83,632,74,1,11,1,109,150,5,165,319,242,0,1,4,10,167,36,1,16,33,189,22,3,5,15,17,65,3
30,4155,2011,250000000,2.39,137,6.6,371,6,1,7,11,228,59,3,67,138,500,0,1,49,117,253,49,1,35,1,75,95,1,112,235,579,36,1,3,13,61,51,0,1,29,315,36,1,3,18,3,31,0
26,4071,2017,97000000,2.39,137,8.1,182,12,2,7,23,167,48,1,27,97,491,141,3,19,47,154,0,0,4,0,131,54,2,15,34,254,8,2,7,23,163,53,2,4,9,87,43,1,1,13,26,74,1
22,3505,2012,200000000,2.39,143,7.7,392,6,1,50,64,100,59,1,5,29,338,0,1,56,168,326,46,1,94,1,210,32,15,56,107,441,11,1,1,3,287,78,2,158,151,164,63,1,5,12,64,122,2
31,3682,2002,100000000,2.39,161,7.4,63,10,1,6,20,102,3,0,15,46,551,1,0,3,15,225,0,0,25,0,109,154,5,166,320,242,3,1,4,10,288,37,1,1,8,231,38,1,3,23,13,43,3
22,4152,2004,200000000,2.39,127,7.3,393,29,0,14,21,411,34,1,9,31,378,0,3,22,64,310,22,1,34,1,44,55,4,63,84,552,46,1,12,11,25,35,1,3,9,157,0,0,0,2,24,60,1
29,3644,2011,125000000,2.39,130,7.3,239,10,0,3,7,431,24,0,7,38,497,35,0,7,12,375,0,0,0,0,25,51,2,6,11,95,5,0,0,1,312,33,1,3,2,348,30,0,0,2,9,21,0
31,3615,2011,80000000,2.39,102,6.5,448,11,4,10,42,55,32,8,45,174,166,34,0,6,14,751,46,2,10,2,32,20,1,4,25,112,5,2,4,4,195,29,1,2,20,240,26,0,1,3,5,18,0
30,3841,2013,170000000,2.39,112,6.9,4,31,1,7,14,83,17,0,13,45,469,0,1,85,134,718,25,1,6,1,25,57,2,8,13,102,8,0,0,3,187,55,6,2,6,398,62,1,3,8,3,22,0
26,3741,2003,110000000,2.39,134,7.4,52,5,4,1,3,339,80,3,5,33,235,12,1,13,83,283,56,2,35,2,106,14,1,8,18,615,5,0,2,7,234,45,1,5,35,240,13,0,1,3,6,41,0
29,3646,2015,40000000,2.39,125,4.1,394,8,2,1,4,95,0,0,10,15,266,9,0,7,8,334,0,1,4,1,44,92,4,74,95,349,1,1,2,4,301,54,2,7,28,257,38,2,9,26,9,26,1
30,3882,2016,165000000,1.78,115,7.5,396,6,0,0,6,44,58,1,27,113,92,41,1,54,80,601,0,1,17,1,148,37,1,76,104,318,2,0,0,4,20,0,0,0,0,6,15,1,9,41,19,66,1
26,4099,2009,150000000,2.39,107,6.6,152,6,1,17,-1,167,29,1,19,89,399,44,6,2,26,163,31,1,3,1,78,56,1,8,25,137,5,6,10,43,86,56,1,11,22,240,23,0,1,3,3,20,0
31,4045,2012,180000000,2.39,169,7.8,343,19,3,127,130,168,91,2,44,53,425,54,1,1,28,615,30,0,5,0,83,65,3,78,105,191,12,3,35,55,13,45,1,18,26,38,0,0,0,0,11,72,3
30,4381,2018,275000000,2.39,135,6.9,384,38,2,34,72,10,19,0,1,15,326,2,0,0,0,749,91,3,26,3,108,20,1,39,69,324,2,0,0,1,29,66,1,2,33,93,3,0,0,3,6,24,1
14,3043,2004,30000000,2.39,127,7.2,287,3,2,24,25,216,21,0,5,7,415,0,0,8,1,134,7,0,0,0,101,66,1,15,9,53,5,0,0,1,35,20,6,11,9,270,35,2,0,13,29,21,3
29,3997,2013,76000000,1.85,98,7.3,355,5,1,0,14,396,50,1,27,131,382,0,1,5,63,66,48,1,4,1,79,83,0,6,5,107,14,0,1,3,115,0,0,0,2,148,0,0,0,0,12,64,2
30,4004,2013,200000000,1.85,104,7.3,84,2,1,2,10,50,57,3,25,41,312,129,1,22,67,691,131,1,21,1,177,20,2,37,110,126,2,1,2,10,145,1,0,0,1,66,0,0,0,0,9,57,1
22,4250,2018,100000000,2.39,112,6.7,386,24,0,1,1,415,50,1,16,80,455,0,4,46,142,628,33,2,27,2,125,10,1,8,56,270,12,0,0,7,216,68,2,11,45,208,28,0,0,1,3,9,0
26,3161,2002,115000000,2.39,142,6.5,157,16,4,41,16,139,29,1,12,35,469,0,1,74,123,273,18,1,9,1,109,154,5,166,320,212,60,4,41,16,76,36,1,0,2,389,15,0,5,6,19,64,1
30,3912,2013,215000000,2.39,130,6.3,393,32,0,14,21,183,72,1,43,136,457,0,1,6,52,602,0,1,36,1,44,85,4,72,93,439,5,0,0,0,248,48,1,2,10,134,0,0,0,1,6,32,0
31,4325,2009,250000000,2.39,153,7.6,111,17,1,3,8,102,11,0,15,46,450,124,1,9,10,167,21,0,0,0,165,0,0,4,6,564,8,1,7,26,34,15,5,1,45,164,60,1,5,12,8,37,1
31,3606,2007,150000000,2.35,101,7.2,136,70,0,5,16,439,53,2,52,127,10,0,0,12,13,121,0,0,1,0,88,80,8,56,84,392,2,0,0,2,13,40,1,13,21,282,32,1,2,14,9,23,0
31,4285,2007,150000000,2.39,138,7.5,111,16,1,1,6,102,8,0,15,46,226,4,0,0,1,319,1,0,0,0,165,0,0,4,6,422,3,0,2,6,309,63,1,7,12,164,58,1,5,12,16,45,2
22,3735,2006,125000000,2.39,149,6.6,384,25,2,22,60,414,49,2,73,182,44,0,2,11,19,283,70,2,38,2,75,68,1,107,230,12,10,1,8,16,298,20,0,0,1,87,24,1,1,13,8,20,1
26,3452,2005,125000000,2.39,23,9.2,384,25,2,22,60,414,49,2,73,182,44,0,2,11,19,283,70,2,38,2,75,68,1,107,230,12,10,1,8,16,298,20,0,0,1,87,24,1,1,13,8,20,1
29,3928,1978,325000,2.39,91,7.7,204,9,0,22,20,114,146,1,1,3,268,0,2,14,38,540,0,0,0,0,100,0,0,22,20,296,4,0,22,20,77,12,1,3,9,152,0,0,0,0,6,2,0
0,3472,1978,325000,2.39,91,7.7,204,9,0,22,20,114,146,1,1,3,268,0,2,14,38,540,0,0,0,0,100,0,0,22,20,296,4,0,22,20,77,12,1,3,9,152,0,0,0,0,6,2,0
30,4206,2018,162000000,2.39,118,7.1,348,25,0,2,5,342,108,1,6,22,188,0,1,3,40,511,79,0,13,0,32,22,1,1,22,94,0,0,0,3,59,71,2,18,24,239,57,0,0,4,1,20,0
