Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
19,0,7,9,0,3,82,0,80,43,0,3,225000000.00,6.8,CLASS-3
52,0,7,5,0,0,138,2,51,30,0,1,230000000.00,6.9,CLASS-3
13,0,3,3,0,0,32,0,8,51,0,0,209000000.00,5.8,CLASS-2
6,1,55,11,0,1,32,0,65,73,2,168,200000000.00,7.7,CLASS-4
5,1,6,4,1,2,26,0,12,4,0,2,185000000.00,7.1,CLASS-3
3,1,2,1,0,1,92,0,68,27,0,15,170000000.00,6.1,CLASS-2
10,1,19,3,1,19,15,0,11,2,0,1,165000000.00,7.7,CLASS-4
6,0,2,0,0,0,6,0,7,0,0,0,150000000.00,5.7,CLASS-2
32,0,27,3,0,0,82,0,80,17,0,13,100000000.00,6.2,CLASS-2
6,0,7,4,0,7,100,1,121,0,0,0,145000000.00,6.8,CLASS-3
5,1,16,3,0,0,53,2,99,0,0,0,145000000.00,7.3,CLASS-3
15,1,18,0,0,0,51,0,29,38,1,16,120000000.00,5.5,CLASS-2
2,0,3,15,0,3,92,0,68,72,1,16,125000000.00,6.6,CLASS-3
20,2,102,2,0,0,26,1,33,18,1,24,120000000.00,7.9,CLASS-4
38,0,44,1,0,0,25,0,4,52,0,1,130000000.00,7,CLASS-3
18,2,147,22,2,165,0,3,19,45,3,18,100000000.00,8.4,CLASS-4
16,0,2,4,0,0,55,0,16,58,0,0,92000000.00,6.6,CLASS-3
17,0,39,15,0,4,16,0,8,36,0,14,102000000.00,7.4,CLASS-3
11,0,4,18,0,3,9,0,15,50,0,0,95000000.00,6.1,CLASS-2
8,0,1,4,0,0,16,0,41,14,0,4,95000000.00,6.6,CLASS-3
20,0,7,23,0,1,29,0,21,1,0,0,85000000.00,7.1,CLASS-3
7,0,3,0,0,0,19,0,22,47,0,0,85000000.00,6.7,CLASS-3
10,0,6,3,0,0,24,8,48,25,0,0,85000000.00,5.6,CLASS-2
10,0,3,6,0,0,4,0,1,43,1,28,35000000.00,7.1,CLASS-3
2,0,8,9,0,8,92,0,68,22,0,3,78000000.00,7.2,CLASS-3
8,0,0,3,0,0,33,0,12,51,0,0,79000000.00,5.8,CLASS-2
10,0,6,5,0,0,23,0,1,35,0,2,70000000.00,6.4,CLASS-2
19,0,3,4,0,3,5,0,2,34,0,2,75000000.00,5.9,CLASS-2
13,0,11,3,0,0,15,0,11,28,0,11,69000000.00,5.9,CLASS-2
54,2,167,3,0,24,222,5,184,38,2,36,65000000.00,7.3,CLASS-3
15,1,35,16,0,2,0,0,1,12,1,8,61000000.00,7.6,CLASS-4
10,0,3,11,0,25,2,0,3,33,0,2,65000000.00,6.4,CLASS-2
31,0,2,5,0,0,20,0,5,39,1,7,65000000.00,6.3,CLASS-2
12,0,2,10,0,2,13,0,0,55,0,1,65000000.00,5.4,CLASS-2
1,1,9,2,0,0,8,0,3,28,0,11,60000000.00,7,CLASS-3
0,0,1,0,0,1,6,0,6,12,0,0,60000000.00,7,CLASS-3
6,0,17,36,0,3,95,1,121,50,0,1,250000000.00,6.6,CLASS-3
19,1,36,15,1,36,23,1,80,4,0,0,200000000.00,6.1,CLASS-2
27,0,3,2,0,2,92,0,68,31,1,18,200000000.00,5.5,CLASS-2
51,0,9,13,0,1,31,0,8,21,0,0,195000000.00,6.2,CLASS-2
51,1,154,13,0,7,68,3,87,38,3,19,170000000.00,7.5,CLASS-3
3,0,5,3,0,0,14,0,11,41,0,8,160000000.00,7.7,CLASS-4
14,0,33,3,0,0,22,0,12,24,0,1,150000000.00,8,CLASS-4
1,0,4,10,0,2,15,0,41,0,0,0,150000000.00,7.2,CLASS-3
5,0,0,1,0,0,15,0,41,3,0,0,150000000.00,5.4,CLASS-2
8,2,32,19,0,3,23,1,80,71,1,16,145000000.00,7.4,CLASS-3
12,1,1,5,0,5,69,0,43,57,0,0,140000000.00,6.9,CLASS-3
20,1,8,13,0,7,95,1,121,71,2,168,135000000.00,8.8,CLASS-4
2,1,22,4,0,0,14,0,11,1,0,0,130000000.00,6.6,CLASS-3
